movie_name,year,genre,description
Faut pas prendre les enfants du bon Dieu pour des canards sauvages,1968,"Comedy, Crime","Rita will play her relationships, especially in love, among the crooks to get her share of gold bars."
Weekend of Shadows,1978,"Crime, Drama","In the 1930s, a farmer's wife in a small town is murdered. Suspicion falls on a Polish labourer and a posse is formed to catch him."
I Choose Chaos,2011,"Crime, Drama, Horror","Upon reuniting with his friend Gage, a disengaged man named Owen is set on a deadly path to gain control of his own life. Can he survive?"
Curse of Jack Frost,2022,Horror,"A family is terrorized by a Christmas demon, Jack Frost, and must learn their family's dark secrets that link to why they are cursed. This Christmas, Jack will stop at nothing to exact his vengeance on those left in the bloodline."
Yujeong mujeong,1970,"Drama, Romance","When Mi-kyeong's father returns from Singapore, he forbids her engagement to Jun-ho because the latter is the son of his old rival, Park Jeong-tae. He and Jeong-tae had competed decades ago for the love of Mi-kyeong's mother."
New Orleans Uncensored,1955,"Crime, Drama, Film-Noir",A Navy veteran purchases a government surplus vessel and becomes involved in the capture of waterfront racketeers.
Hudson Taylor,1981,"Biography, Drama","Biopic of Hudson Taylor (1832-1905), a British protestant missionary in China."
El secreto,2010,"Mystery, Thriller",La vida de una mujer cambia totalmente tras el asesinato de su madre y al llegar a vivir con una tía se da cuenta que guarda un secreto que ha permanecido oculto y resguardado por siglos.
Those Who Kill: Shadow of the Past,2011,"Crime, Drama, Thriller","A forensic psychiatrist decides to change work. Days before leaving, a case of 5 shot on a Copenhagen city bus might involve an old patient of his. Other murders follow. He can't stop before the case is solved."
2001: A Space Odyssey,1968,"Adventure, Sci-Fi","After uncovering a mysterious artifact buried beneath the Lunar surface, a spacecraft is sent to Jupiter to find its origins - a spacecraft manned by two men and the supercomputer H.A.L. 9000."
The Lost Express,1925,Mystery,Kidnapping and marital reconciliation drive this action film set on a millionaire's private train.
Kurzer Prozeß,1967,"Crime, Drama, Thriller",An inconspicuous policeman is send to solve a murder case.
Scandal Sheet,1952,"Crime, Drama, Film-Noir",The editor of an exploitation newspaper commits a murder and assigns his protégé to investigate hoping to divert attention away from himself.
